Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
4/26/63,69.7,-0.000860092,-0.001185941,-0.433116466,-0.001147925,-0.560280903,-0.001313032,-0.007996067,-0.001297454,0.001506549,-0.001172368,0.077809124,-0.001004187,0.014068311
4/25/63,69.76,0.000573723,0.000247874,-0.432868592,0.00028589,-0.559995012,0.000120783,-0.007875285,0.000136361,0.00164291,0.000261447,0.078070571,0.000429629,0.01449794
4/24/63,69.72,0.002732633,0.002406784,-0.430461807,0.0024448,-0.557550212,0.002279693,-0.005595592,0.002295271,0.003938181,0.002420357,0.080490928,0.002588539,0.017086479
4/23/63,69.53,0.003318903,0.002993054,-0.427468753,0.00303107,-0.554519141,0.002865963,-0.002729629,0.002881541,0.006819722,0.003006627,0.083497555,0.003174809,0.020261287
4/22/63,69.3,0.001011122,0.000685273,-0.42678348,0.000723289,-0.553795852,0.000558182,-0.002171447,0.00057376,0.007393482,0.000698846,0.084196401,0.000867028,0.021128315
4/19/63,69.23,0.004935404,0.004609555,-0.422173925,0.004647571,-0.549148281,0.004482464,0.002311016,0.004498042,0.011891523,0.004623128,0.088819529,0.004791309,0.025919624
4/18/63,68.89,-0.000435287,-0.000761137,-0.422935062,-0.00072312,-0.549871401,-0.000888228,0.001422788,-0.00087265,0.011018874,-0.000747564,0.088071965,-0.000579382,0.025340242
4/17/63,68.92,-0.00318195,-0.003507799,-0.426442861,-0.003469783,-0.553341184,-0.00363489,-0.002212102,-0.003619312,0.007399561,-0.003494226,0.084577739,-0.003326044,0.022014198
4/16/63,69.14,0.000723694,0.000397844,-0.426045017,0.000435861,-0.552905323,0.000270753,-0.001941349,0.000286331,0.007685893,0.000411417,0.084989157,0.000579599,0.022593797
4/15/63,69.09,0.004653192,0.004327343,-0.421717674,0.004365359,-0.548539964,0.004200251,0.002258903,0.004215829,0.011901722,0.004340915,0.089330072,0.004509097,0.027102894
4/11/63,68.77,0.007028848,0.006702998,-0.415014676,0.006741015,-0.54179895,0.006575907,0.008834809,0.006591485,0.018493207,0.006716571,0.096046643,0.006884753,0.033987646
4/10/63,68.29,-0.002337473,-0.002663322,-0.417677998,-0.002625306,-0.544424255,-0.002790413,0.006044396,-0.002774835,0.015718372,-0.002649749,0.093396894,-0.002481567,0.031506079
4/9/63,68.45,-0.0010216,-0.001347449,-0.419025446,-0.001309433,-0.545733688,-0.00147454,0.004569856,-0.001458962,0.01425941,-0.001333876,0.092063018,-0.001165694,0.030340385
4/8/63,68.52,0.003514938,0.003189089,-0.415836357,0.003227105,-0.542506583,0.003061998,0.007631854,0.003077576,0.017336986,0.003202662,0.095265681,0.003370844,0.033711228
4/5/63,68.28,0.006337509,0.00601166,-0.409824697,0.006049676,-0.536456906,0.005884569,0.013516423,0.005900147,0.023237132,0.006025233,0.101290913,0.006193414,0.039904643
4/4/63,67.85,0.007274347,0.006948497,-0.4028762,0.006986514,-0.529470393,0.006821406,0.020337829,0.006836984,0.030074116,0.00696207,0.108252984,0.007130252,0.047034895
4/3/63,67.36,0.007779773,0.007453923,-0.395422277,0.00749194,-0.521978453,0.007326832,0.027664661,0.00734241,0.037416527,0.007467496,0.11572048,0.007635678,0.054670573
